circuitId,circuitRef,circuit_name,circuit_location,circuit_country,circuit_nationality,alt,lat,lng
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,Australian,10,-37.8497,144.968
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,Malaysian,18,2.76083,101.738
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,Bahraini,7,26.0325,50.5106
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,Spanish,109,41.57,2.26111
5,istanbul,Istanbul Park,Istanbul,Turkey,Turkish,130,40.9517,29.405
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,Monegasque,7,43.7347,7.42056
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,Canadian,13,45.5,-73.5228
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,French,228,46.8642,3.16361
9,silverstone,Silverstone Circuit,Silverstone,UK,British,153,52.0786,-1.01694
10,hockenheimring,Hockenheimring,Hockenheim,Germany,German,103,49.3278,8.56583
11,hungaroring,Hungaroring,Budapest,Hungary,Hungarian,264,47.5789,19.2486
12,valencia,Valencia Street Circuit,Valencia,Spain,Spanish,4,39.4589,-0.331667
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,Belgian,401,50.4372,5.97139
14,monza,Autodromo Nazionale di Monza,Monza,Italy,Italian,162,45.6156,9.28111
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,Singaporean,18,1.2914,103.864
16,fuji,Fuji Speedway,Oyama,Japan,Japanese,583,35.3717,138.927
17,shanghai,Shanghai International Circuit,Shanghai,China,Chinese,5,31.3389,121.22
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,Brazilian,785,-23.7036,-46.6997
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,American,223,39.795,-86.2347
20,nurburgring,Nürburgring,Nürburg,Germany,German,578,50.3356,6.9475
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,Italian,37,44.3439,11.7167
22,suzuka,Suzuka Circuit,Suzuka,Japan,Japanese,45,34.8431,136.541
80,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,American,\N,36.1147,-115.173
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,Emirati,3,24.4672,54.6031
25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,Argentine,8,-34.6943,-58.4593
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,Spanish,37,36.7083,-6.03417
27,estoril,Autódromo do Estoril,Estoril,Portugal,Portuguese,130,38.7506,-9.39417
28,okayama,Okayama International Circuit,Okayama,Japan,Japanese,266,34.915,134.221
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,Australian,58,-34.9272,138.617
30,kyalami,Kyalami,Midrand,South Africa,South African,1460,-25.9894,28.0767
31,donington,Donington Park,Castle Donington,UK,British,88,52.8306,-1.37528
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Mexican,2227,19.4042,-99.0907
33,phoenix,Phoenix street circuit,Phoenix,USA,American,345,33.4479,-112.075
34,ricard,Circuit Paul Ricard,Le Castellet,France,French,432,43.2506,5.79167
35,yeongam,Korean International Circuit,Yeongam County,Korea,South Korean,0,34.7333,126.417
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Brazilian,1126,-22.9756,-43.395
37,detroit,Detroit Street Circuit,Detroit,USA,American,177,42.3298,-83.0401
38,brands_hatch,Brands Hatch,Kent,UK,British,145,51.3569,0.263056
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,Dutch,6,52.3888,4.54092
40,zolder,Zolder,Heusden-Zolder,Belgium,Belgian,36,50.9894,5.25694
41,dijon,Dijon-Prenois,Dijon,France,French,484,47.3625,4.89913
42,dallas,Fair Park,Dallas,USA,American,139,32.7774,-96.7587
43,long_beach,Long Beach,California,USA,American,12,33.7651,-118.189
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,American,639,36.1162,-115.174
45,jarama,Jarama,Madrid,Spain,Spanish,609,40.6171,-3.58558
46,watkins_glen,Watkins Glen,New York State,USA,American,485,42.3369,-76.9272
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,Swedish,153,57.2653,13.6042
48,mosport,Mosport International Raceway,Ontario,Canada,Canadian,332,44.0481,-78.6756
49,montjuic,Montjuïc,Barcelona,Spain,Spanish,79,41.3664,2.15167
50,nivelles,Nivelles-Baulers,Brussels,Belgium,Belgian,139,50.6211,4.32694
51,charade,Charade Circuit,Clermont-Ferrand,France,French,790,45.7472,3.03889
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,Canadian,214,46.1877,-74.6099
53,essarts,Rouen-Les-Essarts,Rouen,France,French,81,49.3306,1.00458
54,lemans,Le Mans,Le Mans,France,French,67,47.95,0.224231
55,reims,Reims-Gueux,Reims,France,French,88,49.2542,3.93083
56,george,Prince George Circuit,Eastern Cape Province,South Africa,South African,15,-33.0486,27.8736
57,zeltweg,Zeltweg,Styria,Austria,Austrian,676,47.2039,14.7478
58,aintree,Aintree,Liverpool,UK,British,20,53.4769,-2.94056
59,boavista,Circuito da Boavista,Oporto,Portugal,Portuguese,28,41.1705,-8.67325
60,riverside,Riverside International Raceway,California,USA,American,470,33.937,-117.273
61,avus,AVUS,Berlin,Germany,German,53,52.4806,13.2514
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,Portuguese,158,38.7197,-9.20306
63,sebring,Sebring International Raceway,Florida,USA,American,18,27.4547,-81.3483
64,ain-diab,Ain Diab,Casablanca,Morocco,Moroccan,19,33.5786,-7.6875
65,pescara,Pescara Circuit,Pescara,Italy,Italian,129,42.475,14.1508
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,Swiss,551,46.9589,7.40194
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,Spanish,85,41.3903,2.11667
68,buddh,Buddh International Circuit,Uttar Pradesh,India,Indian,194,28.3487,77.5331
69,americas,Circuit of the Americas,Austin,USA,American,161,30.1328,-97.6411
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,Austrian,678,47.2197,14.7647
71,sochi,Sochi Autodrom,Sochi,Russia,Russian,2,43.4057,39.9578
73,baku,Baku City Circuit,Baku,Azerbaijan,Azerbaijani,-7,40.3725,49.8533
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,Portuguese,108,37.227,-8.6267
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,Italian,255,43.9975,11.3719
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Saudi Arabian,15,21.6319,39.1044
78,losail,Losail International Circuit,Al Daayen,Qatar,Qatari,\N,25.49,51.4542
79,miami,Miami International Autodrome,Miami,USA,American,\N,25.9581,-80.2389
