qualifyId,raceId,driverId,constructorId,q1,q2,q3,position
1,18,1,1,86572,85187,86714,1
2,18,9,2,86103,85315,86869,2
3,18,5,1,85664,85452,87079,3
4,18,13,6,85994,85691,87178,4
5,18,2,2,85960,85518,87236,5
6,18,15,7,86427,86101,88527,6
7,18,3,3,86295,86059,88687,7
8,18,14,9,86381,86063,89041,8
9,18,10,7,86919,86164,89593,9
10,18,20,5,86702,85842,\N,10
11,18,22,11,86369,86173,\N,11
12,18,4,4,86907,86188,\N,12
13,18,18,11,86712,86259,\N,13
14,18,6,3,86891,86413,\N,14
15,18,17,9,86914,\N,\N,15
16,18,8,6,86140,\N,\N,16
17,18,21,10,87207,\N,\N,17
18,18,7,5,87446,\N,\N,18
19,18,16,10,87859,\N,\N,19
20,18,11,8,88208,\N,\N,20
21,18,12,4,88330,\N,\N,21
22,18,19,8,89059,\N,\N,22
23,19,13,6,95347,94412,95748,1
24,19,8,6,95645,94188,96230,2
25,19,5,1,95227,94759,96613,3
26,19,1,1,95392,94627,96709,4
27,19,15,7,95205,94960,96711,5
28,19,9,2,95794,94811,96727,6
29,19,2,2,95729,94648,96753,7
30,19,17,9,95440,94967,97009,8
31,19,4,4,95983,95140,98450,9
32,19,10,7,95891,95000,99656,10
33,19,18,11,95847,95208,\N,11
34,19,14,9,96058,95408,\N,12
35,19,12,4,96074,95562,\N,13
36,19,22,11,96198,95622,\N,14
37,19,20,5,96111,95648,\N,15
38,19,3,3,95843,95670,\N,16
39,19,21,10,96240,\N,\N,17
40,19,6,3,96388,\N,\N,18
41,19,7,5,96677,\N,\N,19
42,19,11,8,97087,\N,\N,20
43,19,16,10,97101,\N,\N,21
44,19,19,8,97481,\N,\N,22
45,20,9,2,92893,91745,93096,1
46,20,13,6,91937,91188,93123,2
47,20,1,1,92750,91922,93292,3
48,20,8,6,92652,91933,93418,4
49,20,5,1,93057,91718,93488,5
50,20,2,2,93137,91909,93737,6
51,20,15,7,92493,92159,93994,7
52,20,3,3,92903,92185,94015,8
53,20,18,11,92793,92362,95057,9
54,20,4,4,92947,92345,95115,10
55,20,17,9,93194,92371,\N,11
56,20,22,11,92944,92508,\N,12
57,20,10,7,92800,92528,\N,13
58,20,12,4,92975,92790,\N,14
59,20,7,5,93415,92915,\N,15
60,20,6,3,93386,92943,\N,16
61,20,14,9,93433,\N,\N,17
62,20,21,10,93501,\N,\N,18
63,20,20,5,93562,\N,\N,19
64,20,16,10,93845,\N,\N,20
65,20,19,8,94140,\N,\N,21
66,20,11,8,95725,\N,\N,22
67,21,8,6,80701,80784,81813,1
68,21,4,4,81347,80804,81904,2
69,21,13,6,81528,80584,82058,3
70,21,9,2,81423,80597,82065,4
71,21,1,1,81366,80825,82096,5
72,21,5,1,81430,80817,82231,6
73,21,17,9,81494,80984,82429,7
74,21,15,7,81158,80907,82529,8
75,21,2,2,81466,80815,82542,9
76,21,12,4,81409,80894,82699,10
77,21,22,11,81548,81049,\N,11
78,21,6,3,81690,81117,\N,12
79,21,18,11,81757,81211,\N,13
80,21,10,7,81427,81230,\N,14
81,21,3,3,81472,81349,\N,15
82,21,7,5,81540,81724,\N,16
83,21,14,9,81810,\N,\N,17
84,21,20,5,82108,\N,\N,18
85,21,21,10,82516,\N,\N,19
86,21,16,10,83224,\N,\N,20
87,21,19,8,83318,\N,\N,21
88,21,11,8,83496,\N,\N,22
89,22,13,6,85994,86192,87617,1
90,22,5,1,86736,86290,87808,2
91,22,1,1,86192,86477,87923,3
92,22,8,6,86457,86050,87936,4
